Ahmarean Brown,CLE,WR,5-8,170,12/19/2000,23,R,ABrownCLE
Aidan Robbins,CLE,RB,6-2,237,12/22/2000,23,R,ARobbinsCLE
Alex Wright,CLE,DE,6-5,267,9/5/2000,23,3,AWrightCLE
Amari Cooper,CLE,WR,6-1,210,6/17/1994,30,10,ACooperCLE
Brady Breeze,CLE,SAF,6-0,205,10/9/1997,26,2,BBreezeCLE
Brian Allen,CLE,C,6-2,303,10/11/1995,28,6,BAllenCLE
Cade York,CLE,K,6-1,206,1/27/2001,23,2,CYorkCLE
Caleb Johnson,CLE,LB,6-1,235,7/14/1998,26,1,CJohnsonCLE
Cameron Mitchell,CLE,DB,5-11,191,9/8/2001,22,2,CMitchellCLE
Cedric Tillman,CLE,WR,6-3,215,4/19/2000,24,2,CTillmanCLE
Charley Hughlett,CLE,LS,6-4,248,5/16/1990,34,10,CHughlettCLE
Charlie Thomas,CLE,LB,6-3,216,1/31/2000,24,1,CThomasCLE
Chris Edmonds,CLE,DB,6-2,210,—,22,R,CEdmondsCLE
Chris Williams,CLE,DL,6-3,302,6/16/1998,26,3,CWilliamsCLE
Corey Bojorquez,CLE,P,6-0,217,9/13/1996,27,7,CBojorquezCLE
D'Anthony Bell,CLE,DB,6-1,211,10/17/1996,27,3,DBellCLE
D'Onta Foreman,CLE,RB,6-1,236,4/24/1996,28,6,DForemanCLE
Dalvin Tomlinson,CLE,DE,6-3,325,2/18/1994,30,8,DTomlinsonCLE
David Bell,CLE,WR,6-1,212,12/14/2000,23,3,DBellCLE
David Njoku,CLE,TE,6-4,246,7/10/1996,28,8,DNjokuCLE
Dawand Jones,CLE,OT,6-8,375,8/6/2001,22,2,DJonesCLE
Denzel Ward,CLE,CB,5-11,190,4/28/1997,27,7,DWardCLE
Deshaun Watson,CLE,QB,6-3,223,9/14/1995,28,8,DWatsonCLE
Devin Bush,CLE,LB,5-11,234,7/18/1998,25,6,DBushCLE
Dorian Thompson-Robinson,CLE,QB,6-2,203,11/14/1999,24,2,DThompson-RobinsonCLE
Dustin Hopkins,CLE,K,6-2,210,10/1/1990,33,11,DHopkinsCLE
DyShawn Gales,CLE,CB,5-10,188,—,22,R,DGalesCLE
Elijah Moore,CLE,WR,5-10,180,3/27/2000,24,4,EMooreCLE
Ethan Pocic,CLE,C,6-6,320,8/5/1995,28,8,EPocicCLE
Germain Ifedi,CLE,OT,6-5,325,6/2/1994,30,9,GIfediCLE
Giovanni Ricci,CLE,FB,6-3,240,10/16/1996,27,4,GRicciCLE
Grant Delpit,CLE,SAF,6-3,208,9/20/1998,25,5,GDelpitCLE
Greg Newsome II,CLE,CB,6-0,192,5/18/2000,24,4,GNewsomeCLE
Hakeem Adeniji,CLE,OG,6-4,315,12/8/1997,26,5,HAdenijiCLE
Isaiah McGuire,CLE,DE,6-4,268,7/27/2001,22,2,IMcGuireCLE
Isaiah Thomas,CLE,DE,6-5,266,12/3/1998,25,2,IThomasCLE
Jack Conklin,CLE,OT,6-6,308,8/17/1994,29,9,JConklinCLE
Jaelon Darden,CLE,WR,5-8,175,1/14/1999,25,3,JDardenCLE
Jalen Camp,CLE,WR,6-2,220,7/10/1998,26,1,JCampCLE
Jamari Thrash,CLE,WR,6-0,190,12/19/2000,23,R,JThrashCLE
Jameis Winston,CLE,QB,6-4,231,1/6/1994,30,10,JWinstonCLE
James Hudson,CLE,OT,6-5,313,5/13/1999,25,4,JHudsonCLE
James Proche,CLE,WR,5-11,193,9/20/1996,27,5,JProcheCLE
Javion Cohen,CLE,OG,6-4,322,8/8/2002,21,R,JCohenCLE
Jedrick Wills,CLE,OT,6-4,307,5/17/1999,25,5,JWillsCLE
Jeremiah Owusu-Koramoah,CLE,LB,6-2,221,11/4/1999,24,4,JOwusu-KoramoahCLE
Jerome Ford,CLE,RB,5-10,210,9/12/1999,24,3,JFordCLE
Jerry Jeudy,CLE,WR,6-1,195,4/24/1999,25,5,JJeudyCLE
Joel Bitonio,CLE,OG,6-4,320,10/11/1991,32,11,JBitonioCLE
John Kelly,CLE,RB,5-10,208,10/4/1996,27,2,JKellyCLE
Jordan Akins,CLE,TE,6-4,245,4/19/1992,32,7,JAkinsCLE
Jordan Hicks,CLE,MLB,6-1,236,6/27/1992,32,10,JHicksCLE
Jowon Briggs,CLE,DE,6-1,313,9/1/2001,22,R,JBriggsCLE
Juan Thornhill,CLE,DB,6-0,205,10/19/1995,28,6,JThornhillCLE
Justin Hardee,CLE,DB,6-1,200,2/7/1994,30,8,JHardeeCLE
Kahlef Hailassie,CLE,DB,6-1,195,11/9/2000,23,2,KHailassieCLE
Lorenzo Thompson,CLE,OL,6-6,305,—,22,R,LThompsonCLE
Luke Wypler,CLE,C,6-3,303,5/3/2001,23,2,LWyplerCLE
Martin Emerson,CLE,CB,6-2,200,9/27/2000,23,3,MEmersonCLE
Matt Landers,CLE,WR,6-4,200,6/16/1999,25,1,MLandersCLE
Maurice Hurst,CLE,DT,6-2,291,5/9/1995,29,7,MHurstCLE
Michael Dunn,CLE,OG,6-5,315,8/28/1994,29,5,MDunnCLE
Michael Hall Jr.,CLE,DT,6-2,285,6/13/2003,21,R,MHallCLE
Michael Woods II,CLE,WR,6-1,204,3/19/2000,24,2,MWoodsCLE
Mohamoud Diabate,CLE,LB,6-4,225,5/18/2001,23,2,MDiabateCLE
Myles Garrett,CLE,DE,6-4,272,12/29/1995,28,8,MGarrettCLE
Myles Harden,CLE,DB,5-11,195,12/13/2001,22,R,MHardenCLE
Nathaniel Watson,CLE,LB,6-0,233,9/1/2000,23,R,NWatsonCLE
Nick Chubb,CLE,RB,5-11,227,12/27/1995,28,7,NChubbCLE
Nyheim Hines,CLE,RB,5-9,196,11/12/1996,27,6,NHinesCLE
Obo Okoronkwo,CLE,DE,6-2,250,4/24/1995,29,7,OOkoronkwoCLE
Pierre Strong Jr,CLE,RB,5-11,215,12/10/1998,25,3,PStrongCLE
Quinton Jefferson,CLE,DE,6-4,291,3/31/1993,31,9,QJeffersonCLE
Rodney McLeod,CLE,FS,5-10,185,6/23/1990,34,13,RMcLeodCLE
Ronnie Hickman,CLE,SAF,6-1,209,10/11/2001,22,2,RHickmanCLE
Roy Mbaeteka,CLE,OT,6-8,330,2/13/2000,24,1,RMbaetekaCLE
Sam Kamara,CLE,DE,6-0,272,12/21/1997,26,2,SKamaraCLE
Shelby Harris,CLE,DE,6-2,288,8/11/1991,32,10,SHarrisCLE
Siaki Ika,CLE,DT,6-3,335,11/8/2000,23,2,SIkaCLE
Tony Brown,CLE,DB,6-0,200,7/13/1995,29,6,TBrownCLE
Tony Fields II,CLE,LB,6-0,222,6/18/1999,25,4,TFieldsCLE
Treyton Welch,CLE,TE,6-4,241,—,22,R,TWelchCLE
Tyler Huntley,CLE,QB,6-1,204,2/3/1998,26,5,THuntleyCLE
Vincent Gray,CLE,DB,6-2,190,12/28/1999,24,1,VGrayCLE
Winston Reid,CLE,LB,6-0,225,8/3/1999,24,R,WReidCLE
Wyatt Davis,CLE,OG,6-4,310,2/17/1999,25,4,WDavisCLE
Wyatt Teller,CLE,OG,6-4,315,11/21/1994,29,7,WTellerCLE
Za'Darius Smith,CLE,DE,6-4,270,9/8/1992,31,10,ZSmithCLE
Zaire Mitchell-Paden,CLE,TE,6-5,257,8/20/1999,24,1,ZMitchell-PadenCLE
Zak Zinter,CLE,OG,6-6,310,4/17/2001,23,R,ZZinterCLE
