Aaron Rodgers,QB,6-2,223,12/2/1983 (40),20
Al Blades Jr.,SAF,6-1,195,10/24/1999 (24),R
Allen Lazard,WR,6-5,227,12/11/1995 (28),6
Andrew Peasley,QB,6-2,218,1/6/2000 (24),R
Ashtyn Davis,SAF,6-1,202,10/10/1996 (27),5
Austin Deculus,OT,6-5,321,3/12/1999 (25),3
Austin Seibert,K,5-9,200,11/15/1996 (27),4
Brady Latham,OG,6-5,312,9/30/2000 (23),R
Braelon Allen,RB,6-1,235,1/20/2004 (20),R
Braiden McGregor,DE,6-6,267,7/12/2001 (22),R
Brandin Echols,CB,5-10,179,10/16/1997 (26),4
Brandon Codrington,DB,5-9,185,—,R
Breece Hall,RB,5-11,217,5/31/2001 (23),3
Bruce Hector,DT,6-2,296,10/7/1994 (29),3
C.J. Mosley,ILB,6-2,231,6/19/1992 (32),10
Carter Warren,OT,6-5,311,1/19/1999 (25),2
Chazz Surratt,LB,6-2,233,2/16/1997 (27),3
Chris Glaser,OG,6-4,306,10/1/1999 (24),2
Chuck Clark,DB,6-0,209,4/19/1995 (29),8
D.J. Reed,CB,5-9,188,11/11/1996 (27),7
Eric Watts,DE,6-5,277,10/1/2000 (23),R
Garrett Wilson,WR,6-0,183,7/22/2000 (23),3
Greg Zuerlein,K,6-0,195,12/27/1987 (36),13
Haason Reddick,OLB,6-1,240,9/22/1994 (29),8
Hamze El-Zayat,WR,5-8,162,—,R
Irvin Charles,WR,6-4,219,4/13/1997 (27),2
Isaiah Davis,RB,6-1,220,2/21/2002 (22),R
Isaiah Oliver,CB,6-0,202,9/30/1996 (27),7
Israel Abanikanda,RB,5-10,216,10/5/2002 (21),2
Jackson Sirmon,LB,6-2,240,4/15/2000 (24),R
Jake Hanson,C,6-4,303,4/29/1997 (27),4
Jalyn Holmes,DT,6-5,283,1/25/1996 (28),5
Jamien Sherwood,LB,6-2,216,1/12/2000 (24),4
Jarius Monroe,DB,6-2,205,10/6/2000 (23),R
Jarrick Bernard-Converse,SAF,6-1,205,4/29/2000 (24),2
Jason Brownlee,WR,6-3,202,1/30/1999 (25),2
Javon Kinlaw,DT,6-5,319,10/3/1997 (26),5
Jaylen Key,SAF,6-2,210,2/29/2000 (24),R
Jeremy Ruckert,TE,6-5,250,8/11/2000 (23),3
Jermaine Johnson II,LB,6-5,254,1/8/1999 (25),3
Jimmy Ciarlo,LB,6-2,225,—,R
Joe Tippmann,C,6-6,313,3/24/2001 (23),2
John Simpson,OG,6-4,330,8/19/1997 (26),5
Jordan Travis,QB,6-1,200,5/2/2000 (24),R
Kenny Yeboah,TE,6-4,250,10/30/1998 (25),4
Kevin Foelsch,TE,6-4,250,—,R
Kohl Levao,OL,6-6,350,—,1
Lance McCutcheon,WR,6-3,202,2/28/1999 (25),2
Leki Fotu,DT,6-5,335,8/23/1998 (25),5
Leonard Taylor III,DT,6-3,305,5/29/2002 (22),R
Lincoln Sefcik,TE,6-3,238,7/14/1999 (24),R
Malachi Corley,WR,5-11,210,3/21/2002 (22),R
Malik Taylor,WR,6-1,220,12/21/1995 (28),3
Marcelino McCrary-Ball,LB,6-0,214,3/23/1999 (25),1
Marcus Riley,WR,5-11,175,—,R
Max Mitchell,OT,6-6,307,10/12/1999 (24),3
Michael Carter II,CB,5-10,184,3/8/1999 (25),4
Micheal Clemons,DE,6-5,263,8/21/1997 (26),3
Mike Williams,WR,6-4,218,10/4/1994 (29),8
Morgan Moses,OT,6-6,320,3/3/1991 (33),11
Myles Jones,CB,6-4,194,10/6/1998 (25),R
Nick Bawden,RB,6-2,245,6/22/1996 (28),7
Obinna Eze,OT,6-8,325,6/12/1998 (26),1
Olumuyiwa Fashanu,OT,6-6,312,12/9/2002 (21),R
Quincy Williams,LB,5-11,230,8/28/1996 (27),6
Quinnen Williams,DT,6-3,303,12/21/1997 (26),6
Qwan'tez Stiggers,DB,6-0,197,1/8/2002 (22),1
Sam Eguavoen,LB,6-1,236,2/22/1993 (31),6
Sauce Gardner,CB,6-3,190,8/31/2000 (23),3
Shemar Bartholomew,CB,6-1,200,—,R
Solomon Thomas,DE,6-3,295,8/26/1995 (28),8
Takk McKinley,DE,6-2,250,11/2/1995 (28),6
Tanzel Smart,DT,6-1,295,11/6/1994 (29),4
Tarik Cohen,RB,5-6,181,7/26/1995 (28),5
Thomas Hennessy,LS,6-2,246,6/11/1994 (30),8
Thomas Morstead,P,6-4,225,3/8/1986 (38),16
Tony Adams,DB,5-11,203,1/24/1999 (25),3
Tyler Conklin,TE,6-3,248,7/30/1995 (28),7
Tyler Harrell,WR,6-0,200,8/1/2000 (23),R
Tyrod Taylor,QB,6-1,217,8/3/1989 (34),14
Tyron Smith,OT,6-5,320,12/12/1990 (33),14
Wes Schweitzer,OG,6-4,300,9/11/1993 (30),9
Will McDonald IV,DE,6-4,236,6/4/1999 (25),2
Willie Tyler,OT,6-6,320,—,R
Xavier Gipson,WR,5-9,189,3/8/2001 (23),2
Xavier Newman-Johnson,OG,6-2,297,8/4/1999 (24),2
Xazavian Valladay,RB,6-0,198,7/3/1998 (26),1
Zack Kuntz,TE,6-8,251,6/9/1999 (25),1
Zaire Barnes,LB,6-1,227,9/3/1999 (24),2
