Aidan Hutchinson,DET,"$9,740,015",AHutchinsonDET
Alex Anzalone,DET,"$7,444,118",AAnzaloneDET
Alim McNeill,DET,"$3,388,578",AMcNeillDET
Amik Robertson,DET,"$2,850,000",ARobertsonDET
Amon-Ra St. Brown,DET,"$4,862,315",ASt.DET
Antoine Green,DET,"$944,190",AGreenDET
Ben Niemann,DET,"$985,000",BNiemannDET
Brandon Joseph,DET,"$795,000",BJosephDET
Brian Branch,DET,"$1,823,123",BBranchDET
Brock Wright,DET,"$1,764,000",BWrightDET
Brodric Martin,DET,"$1,205,473",BMartinDET
Bryan Hudson,DET,"$798,333",BHudsonDET
C.J. Moore,DET,"$985,000",CMooreDET
Carlton Davis,DET,"$4,529,485",CDavisDET
Chelen Garnes,DET,"$797,666",CGarnesDET
Chris Smith,DET,"$795,000",CSmithDET
Christian Mahogany,DET,"$829,597",CMahoganyDET
Colby Sorsdal,DET,"$995,021",CSorsdalDET
Connor Galvin,DET,"$795,000",CGalvinDET
Craig Reynolds,DET,"$985,000",CReynoldsDET
D.J. Reader,DET,"$5,303,000",DReaderDET
DaRon Gilbert,DET,"$795,833",DGilbertDET
Dan Skipper,DET,"$1,010,000",DSkipperDET
Daurice Fountain,DET,"$1,055,000",DFountainDET
David Montgomery,DET,"$6,786,765",DMontgomeryDET
Derrick Barnes,DET,"$3,311,302",DBarnesDET
Donovan Peoples-Jones,DET,"$1,300,000",DPeoples-JonesDET
Duke Clemens,DET,"$798,333",DClemensDET
Emmanuel Moseley,DET,"$2,169,118",EMoseleyDET
Ennis Rakestraw,DET,"$1,179,045",ERakestrawDET
Frank Ragnow,DET,"$12,800,000",FRagnowDET
Giovanni Manu,DET,"$976,414",GManuDET
Graham Glasgow,DET,"$2,687,500",GGlasgowDET
Hendon Hooker,DET,"$1,299,779",HHookerDET
Hogan Hatten,DET,"$795,333",HHattenDET
Ifeatu Melifonwu,DET,"$1,427,154",IMelifonwuDET
Isaac Ukwu,DET,"$798,333",IUkwuDET
Isaiah Williams,DET,"$800,000",IWilliamsDET
Jack Campbell,DET,"$3,345,913",JCampbellDET
Jack Fox,DET,"$3,975,000",JFoxDET
Jahmyr Gibbs,DET,"$4,055,713",JGibbsDET
Jake Bates,DET,"$845,000",JBatesDET
Jake Funk,DET,"$1,055,000",JFunkDET
Jalen Reeves-Maybin,DET,"$2,750,000",JReeves-MaybinDET
Jalon Calhoun,DET,"$800,000",JCalhounDET
James Houston,DET,"$915,000",JHoustonDET
James Mitchell,DET,"$1,045,639",JMitchellDET
Jameson Williams,DET,"$4,762,307",JWilliamsDET
Jared Goff,DET,"$27,211,832",JGoffDET
Jermar Jefferson,DET,"$915,000",JJeffersonDET
John Cominsky,DET,"$4,200,000",JCominskyDET
Josh Paschal,DET,"$2,109,725",JPaschalDET
Kaden Davis,DET,"$795,000",KDavisDET
Kalif Raymond,DET,"$3,250,000",KRaymondDET
Kayode Awosika,DET,"$985,000",KAwosikaDET
Kerby Joseph,DET,"$1,375,883",KJosephDET
Kevin Zeitler,DET,"$5,940,000",KZeitlerDET
Khalil Dorsey,DET,"$1,400,000",KDorseyDET
Kindle Vildor,DET,"$1,152,500",KVildorDET
Kingsley Eguakun,DET,"$801,666",KEguakunDET
Kyle Peko,DET,"$985,000",KPekoDET
Levi Onwuzurike,DET,"$2,592,829",LOnwuzurikeDET
Loren Strickland,DET,"$795,500",LStricklandDET
Malcolm Rodriguez,DET,"$1,031,982",MRodriguezDET
Marcus Davenport,DET,"$3,552,500",MDavenportDET
Mathieu Betts,DET,"$795,000",MBettsDET
Matt Farniok,DET,"$985,000",MFarniokDET
Maurice Alexander,DET,"$915,000",MAlexanderDET
Mekhi Wingo,DET,"$841,700",MWingoDET
Michael Badgley,DET,"$1,152,500",MBadgleyDET
Michael Niese,DET,"$795,000",MNieseDET
Mitchell Agude,DET,"$795,000",MAgudeDET
Morice Norris,DET,"$796,666",MNorrisDET
Nate Lynn,DET,"$800,000",NLynnDET
Nate Sudfeld,DET,"$985,000",NSudfeldDET
Netane Muti,DET,"$1,055,000",NMutiDET
Parker Hesse,DET,"$1,055,000",PHesseDET
Penei Sewell,DET,"$8,167,885",PSewellDET
Sam LaPorta,DET,"$2,151,363",SLaPortaDET
Scott Daly,DET,"$1,155,000",SDalyDET
Sean McKeon,DET,"$985,000",SMcKeonDET
Shane Zylstra,DET,"$985,000",SZylstraDET
Sione Vaki,DET,"$927,177",SVakiDET
Steven Gilmore,DET,"$920,000",SGilmoreDET
Taylor Decker,DET,"$19,100,000",TDeckerDET
Terrion Arnold,DET,"$2,607,947",TArnoldDET
Tom Kennedy,DET,"$985,000",TKennedyDET
Tre'Quan Smith,DET,"$985,000",TSmithDET
Zonovan Knight,DET,"$985,000",ZKnightDET
